Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
squamata J.E. Lange,Leiospora,Subphaseoliform,Obtuse,[8.5-11],[5.5-7.5],[1.3-1.7],Smooth,Claviform,[30-37],[11-14],[2-4],Yes,Cylindrical | Claviform | Subutriform,[30-66],[10-20],Yes,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,Yes,Cylindrical | Claviform | Subutriform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moist | Ground,Frondose | Poplar | Willow | Alder,[15-49],[15-49],Equal,n/a,n/a,Acidulous,Inosperma,Rimosae,,"Occasionally specimens with an almost smooth pileus are met. The hyphae in the centre of the pileipellis do not or hardly sclerify in these specimens, and for that reason the pileus does not break into apressed scales. This character seems to be only a phenotypic response to moisture. In one collection, viz. Kuyper 1662, both character variants were found. Specimens growing in sheltered conditions were relatively smooth, but specimens growing in exposed situation were distinctly appressedly scaly. No taxonomic status can therefore be accorded to those smooth variants. 2) Inocybe squamata, especialy its variant with a rather smooth pileus, cannot always easily be separated from the extremely variable I. rimosa (Bull.: Fr.) Kumm. The latter species, however, has a more prominent umbo, a more strongly radially rimose pileal covering, a different smell and somewhat larger spores. I did not yet meet trully intermediate collections, and for that reason I. squamata is considered an autonomous species.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 59-60",,,,
squamosa Bres.,Leiospora,Amygdaliform,Conical,[8.5-10],[6.5-7.5],[1.2-1.5],Smooth,Claviform,[27-36],[9-12],[4-4],Yes,Cylindrical | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Cylindrical | Fusiform | Metuloid,[64-78],[14-21],Yes,[2-2.5],n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Terrestrial,n/a,[10-15],[10-15],Subequal,n/a,n/a,Not distinctive,Inocybe,,,Closely related to I. muricellata Bres. from which it maintly differs in remarkably broad spores. More material of I. squamosa seems necessary to assess its relationship to mediterranean variants of I. muricellata. The macroscopical description has been copied from Bresadola (l.c.).,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 201-202",,,,
squarrosa Rea,Leiospora,Subamygdaliform,Subconical,[7.5-11.5],[5-6],[1.6-2.1],Smooth,Claviform,[23-31],[7-10],[4-4],Yes,Utriform | Metuloid,n/a,n/a,Yes | Sparse,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Utriform | Metuloid,[42-73],[12-26],Yes | Sparse,[0.2-0.5],n/a,Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Marshy places,Willow | Alder,[3-22],[3-22],Equal,n/a,n/a,Subspermatic | Pelargonium,Inocybe,,,Judging from the description Inocybe griseoscabrosa (Peck) Earle (in Torreya 3 : 169. 1903) from North America comes close to I. squarrosa but differs in having a conspicuously white-fibrillose stipe and somewhat larger spores (10.0-13.0 x 5.5-6.5 microns).,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 132",,,,
stangliana Kuyper,Leiospora,Regula | Subamygdaliform,Subobtuse | Subconical,[5.5-7],[4.5-5.5],[1.2-1.5],Smooth,Claviform,[22-27],[7-9],[4-4],Yes,Fusiform | Subutriform | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Fusiform | Subutriform | Claviform | Metuloid,[41-53],[14-18],Yes,[2-2.5],n/a,Yes,Fusiform | Subutriform | Claviform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Soil,Beech,[8-30],[8-30],Equal,n/a,n/a,Faint | Reminiscent of fruit,Inocybe,,,"I certainly do not describing new species based on the type-collection solely. However, I. stangliana is so distinctive in both macro- and microscopical characters that there can hardly be any doubt regarding its specific autonomy.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 213",,,,
stuntzii Grund,Leiospora,Inequilaterally | Amygdaliform,Conical | Subconical,[7.5-10],[4.5-5.5],n/a,Smooth,Claviform,[27-33],[8-9],[4-4],Yes,Lageniform | Ventricose | Rostrate | Metuloid,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Lageniform | Ventricose | Rostrate | Metuloid,[50-77],[11-23],Yes | No,[3-4.5],n/a,Yes,Lageniform | Ventricose | Rostrate | Metuloid,n/a,n/a,Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss,Conifers,[25-42],[25-42],Not bulbous,n/a,n/a,Spermatic,,,,"The pileus with brown disc and margin with brown scales on a yellow ground color, the yellow stipe, and the thick-walled yellow cystidia distinguish this Inocybe. Because of the bright colors it has more the appearance of a Pholiota than of an Inocybe. It is a member of a stirps, composed mostly of as yet undescribed species, that includes two of Murrill's Inocybes from Florida, I. subeutheloides Murrill and I. parvispora Murrill. Both of these differ from I. stuntzii in the type of pileal cuticle and in having a pure white stipe, and I. parvispora differs further in its much smaller spores.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes III., Mycologia, vol. 67, 1975; p. 25-27",,,,
subdestricta Kauffman,Leiospora,Inequilaterally | Amygdaliform,Conical,[9-12],[4.5-6],n/a,Smooth,Claviform,[23-30],[7.5-8],[4-4],Yes,Ventricose | Metuloid,[20-25],[7-10],Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[55-70],[16-28],Yes,[2-3.5],n/a,Yes,Claviform | Metuloid,n/a,n/a,Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Conifers | Hardwoods,[20-25],[20-25],Equal,n/a,n/a,Spermatic,,,,"The brown, appressed-fibrillose pileus, incarnate, apically pruinose stipe, medium-sized spores, and thick-walled pleurocystidia are the distinguishing features of Inocybe subdestricta. In all these characteristics the species shows considerably more variation than is indicated by the description of the Nova Scotian specimens, drawn from a single collection. For instance, moderately thick-walled pleurocystidia like those of the Nova Scotian colection are not infrequently encountered, but the fusoid, thick-walled metuloids of the Michigan specimens, shown in Fig. 11A, are more characteristic of the species. The relationship of I. subdestricta to I. friesii Heim sensu Kuehner needds clarification. Judging from Kuehner's description (Kuehner, R. 1955. Complements a la Flore Analytique V. Inocybe leispores cystidies. Bull. Soc. Nat. D'Oyonnax, Mem. Hors ser. 1. Imprimerie Berthod, Bourg. 95 p.; 63 p.) the two species certainly are similar, but as neither of us has seen any authentic material of I. friesii we can do no more at present than point out the similarity.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 422-423",,,,
subexilis (Peck) Sacc.,Goniospora,Subtriangular,Conical,[6.5-10],[6-7],n/a,10 rather small but readily visible nodules,Claviform,[17.5-25],[8-10],[4-4],Yes,Ventricose | Metuloid,[45-66],[14-23],Yes,n/a,n/a,Yes,Claviform,[11-16.5],[4.5-10],Yes,Obclaviform | Ventricose | Metuloid,[40-55],[13-19],Yes,[2.5-3.5],n/a,Yes,Obclaviform | Ventricose | Metuloid,[46-57],[12-18],Yes | No,n/a,n/a,Yes,Obclaviform | Ventricose | Metuloid,[38-51],[9-16.5],Yes | No,n/a,n/a,n/a,n/a,Ground,Conifers | Hardwoods,[10-11],[10-11],Not bulbous,n/a,n/a,n/a,Clypeus,,,n/a,"Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes V., Mycologia, vol. 72, 1980; p. 684-686",,,,
submuricellata var. stenospermina Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Conical,[7-10],[4-5.5],n/a,Smooth,Claviform,[20-30],[4.5-8],[4-4],Yes,Metuloid,[47-55],[10-14],No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[46-63],[10-14.5],Yes | No,[1.7-4],n/a,Yes,Ventricose | Metuloid,[20-40],[9-10],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Conifers,[20-35],[20-35],Not bulbous,n/a,n/a,Spermatic,,,,"The holotype of I. submuricellata var. submuricellata at CUP consists of a single specimens, and the species seems not to have been found subsequently ; Kauffman states (Kauffman, C. H. 1924. Inocybe. North Amer. Fl. 10(4) : 227-260; p. 254), ""Known only from the type locality."" Under these circumstances it is difficult to know what might be the infraspecific variation in spore size. That the species is more widely distributed than indicated by reported collections is apparent from its appearance in such diverse localities as Nova Scotia and Washington. Perhaps in time it will be found frequently enough to give a clearer picture of its variability ; in the meantime, we think it best to put our collections on record as a variety.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VII., Mycologia, vol. 75, 1983; p. 266-268",,,,
subochracea (Peck) Sacc.,Leiospora,Inequilaterally | Amygdaliform,Conical | Subconical,[7-10],[4.5-5.5],n/a,Smooth,Claviform,[25-30],[7-9],[2-4],Yes,Fusoid | Ventricose | Metuloid,[30-60],[11-14],Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Fusoid | Ventricose | Metuloid,[55-100],[11-19],Yes,[4-5],n/a,Yes,Fusoid | Ventricose | Metuloid,[33-55],[8-15],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Beech | Hardwoods,[10-40],[10-40],Equal,n/a,n/a,n/a,,,,"This is one of the more easily recognized Inocybes, well characterized macroscopically by its bright yellow-ochre or ochre and tawny colors and microscopically by large, thick-walled, yellow pleurocystidia. The yellow color of the cystidial wall is apparent in fresh material mounted in water, but becomes more intense when dried material is revived in ammonia or 3% KOH solution.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 936-938",,,,
subporospora Kuyper,Leiospora,Subamygdaliform,Obtuse | Subconical,[7.5-10.5],[5-6.5],[1.4-1.7],Smooth,Claviform,[26-31],[8-10],[4-4],Yes,Fusiform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,n/a,n/a,n/a,Yes,Fusiform | Subutriform | Metuloid,[45-59],[13-21],Yes,[1-2],n/a,Yes,Fusiform | Subutriform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Dune-sand | Calcareous,Pine | Oak,[9-36],[9-36],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"1) The most distinctive character of this species and I. luteipes J. Favre is the presence of an indistinct germ-pore at the apex of the spores. A good microscopical equipment is needed, however, for the observation of this character. Other species sometimes show some thinning of the spore-wall near the apex, but not a true germ-pore. 2) Inocybe griseobrunnea Metrod in Bull. trimest. Soc. mycol. Fr. 72 : 124. 1956 (inval., Art. 36.1) comes very close to I. subporospora. I examined an authentic collection (France, Bois de Sapois, 15.IX.1941, herb. Metrod, PC), and noted spores with an obtuse apex and sometimes an indistinct germ-pore. The short macroscopical description, however, does not allow for a certain determination, although it is probably conspecific with I. subporospora.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 95-96",,,,
substellata Kuehner,Goniospora,Nodulose,n/a,[9.8-12.8],[7.5-11.1],[1.05-1.5],"With 7 to 10 rather prominent, rounded nodules",Claviform,[31-43],[10-15],[4-4],Yes,Subfusiform | Sublageniform | Metuloid,[46-93],[12-22],Yes,n/a,n/a,Yes,Claviform | Oval,[17-28],[7-10],Yes,Subfusiform | Sublageniform | Metuloid,[64-92],[15-22],Yes,[2-3.5],n/a,Yes,n/a,[61-110],[15-22],n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Alpine zone,Willow,[6-26],[6-26],Equal | Subbulbous,n/a,n/a,Not distinctive,Clypeus,,,"Our material of I. substellata fits well to the original description by Kuehner (1988), who found the species growing with Salix herbacea. However, in the description he does not mention the occurrence of a velipellis, which is rather abundant in some of our specimens. In the arctic and alpine zones the velipellis often appears as strong, even if the species have no or much less velipellis in more southern areas. Kuehner (1988) gives cystidia walls as colourless, but we found them pale yellow to yellow. Fruit bodies having velipellis can somewhat resemble I. argenteolutea Vauras, but this species has brighter yellow lamellae and stipe, and spores quite similar as I. grammata Quel. I. substellata has been recorded also from Austria (Bandini http://www.inocybe.org/untergattung-inocybe-h%C3%B6ckersporer/substellata/) and Turkey (Solak et al. 2009).","Vauras, Jukka and Larsson, Ellen. Inocybe caprimulgi and I. lacunarum, two new nodulose-spored species from Fennoscandia. Karstenia 55: 1-18, 2015 (2016); p. 11-12",,,,
tahquamenonensis D.E. Stuntz,Goniospora,Trapezoidal | Subrectangle,Conical | Subconical,[5.8-6.8],[4-5.6],[1.1-1.6],"7 to 9 nodules, some of which are well demonstrable",Claviform | Subutriform,[23.5-34],[6.3-9.3],[4-4],Yes,Cylindrical |Claviform | Subglobose,[15.9-79.8],[7-23.2],No,[0.3-0.8],No,n/a,n/a,n/a,n/a,Yes,Utriform | Lageniform | Cylindrical,[41.1-73.1],[10.3-20.5],No,[2.1-2.3],No,Yes,Cylindrical | Claviform,[10.2-75.4],[4.5-14.4],No,[0.3-0.8],No,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,n/a,n/a,Sandy soil,Beech | Oak,[10-40],[10-40],Claviform | Subbulbous,n/a,n/a,Not distinctive,Pertenuis,,,"A more complete description and especially some illustrations, would have been helpful, but such data as are furnished apply satisfactorily to my collection. Apparently I. tahquamenonensis is a rather rare species, or one that is easily overlooked ; is it only rare or too difficulty observable by its dark color? It will be necessary to find it and to study it under the microscope in order to have a more accurate portrait of the species.","Kaufholtz-Couture, C. Taxonomy, macromorphological and microscopic descriptions, Fungiquebec, 2018; Collections examined : cKc0639",,,,
tenebrosa Quel.,Leiospora,Subamygdaliform,Subconical,[7-10],[4.5-6],[1.4-1.9],Smooth,Claviform,[26-35],[8-11],[4-4],Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Metuloid,[35-66],[10-25],Yes,[2-3],n/a,Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Soil,Oak | Hazel | Blue-beech | Cedar,[10-32],[10-32],Equal | Subbulbous,n/a,n/a,Spermatic,Inocybe,,,"Specimens from North America are generally somewhat more slender than specimens from Europe, but they are virtually identical in microscopical respects. Atkinson (in Amer. J. Bot. 5: 211. 1918) introduced the epithet atripes instead of tenebrosa, because he had no knowledge of the cystidia in the latter species. Quelet's illustration does not, however, leave any doubt regarding its identity with I. atripes, and for that reason the older epithet tenebrosa must be reintroduced.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 209-210",,,,
tjallingiorum Kuyper,Leiospora,Regular | Subamygdaliform,Obtuse,[7-10.5],[5-6],[1.4-1.8],Smooth,Claviform,[24-33],[8-10],[4-4],Yes,Claviform | Subutriform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Claviform | Subutriform | Subutriform | Metuloid,[39-62],[13-21],Yes,[3-4],n/a,Yes,Claviform | Subutriform | Subutriform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Soil,Pine | Oak | Willow | Dryas octopetala,[11-32],[11-32],Slightly bulbous,n/a,n/a,Not distinctive | Faint subspermatic,Inocybe,,,"Inocybe tjallingiorum has the same colour of pileus as I. splendens var. phaeoleuca (Kuehner) Kuyp., but the latter species differs in having spores with a distinctly conical apex and almost colourless, somewhat larger cystidia. Inocybe leiocephala Stuntz differs in a different colour of stipe and larger spores and cystidia.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 192-194",,,,
tricolor Kuehner,Leiospora,Subamygdaliform,Conical,[7-9],[5-6],[1.4-1.6],Smooth,Claviform,[31-38],[8-10],[4-4],Yes,Cylindrical | Claviform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Metuloid,[42-60],[13-16],Yes,[0.5-1],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Spruce | Fir,[10-38],[10-38],Equal,n/a,n/a,Peruvian balsam,Inocybe,,,Inocybe tricolor has the same microscopical characters as I. corydalina and it also contains psilocybin (cf. Besl. & Mack in Z. Mykol. 51 : 184. 1985). More collections might eventually show that I. tricolor is better regarded as an infraspecific taxon of I. corydalina.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 81",,,,
umbratica Quel.,Goniospora,Trapezoidal | Subrectangle,Conical | Subconical,[6.3-10],[4.9-6.9],[1-1.6],8 to 10 prominent nodules,Claviform,[25-30],[6.5-8],[4-4],Yes,Fusiform | Lageniform | Claviform,[30-58],[14-16],Yes | Sparse,[3-6],n/a,Yes,Claviform | Pyriform,[10.4-16.1],[5.5-9.2],Yes,Fusiform | Lageniform | Claviform | Ventricose | Metuloid,[30-60],[12-17.5],Yes,[4.5-6.5],n/a,Yes,Lageniform | Ovoid | Subovoid | Metuloid,[27.7-57],[14.5-19.4],Yes,n/a,n/a,Yes,Fusiform | Lageniform | Metuloid,[44.3-57.1],[13.7-17.1],Yes,n/a,n/a,Yes,n/a,Soil,Conifers | Hardwoods,[24-30],[24-30],Bulbous | Bulbous turbinate,n/a,n/a,Spermatic,Clypeus,,,"Our specimens correspond well to the descriptions given by Heim (Heim, R. 1931. Le genre Inocybe. Encycl. Mycol., T. I. P. Lechevalier, Paris. 429 p.; p. 143) and Kuehner (Kuehner, R. 1955. Complements a la Flore Analytique VI. Inocybes goniospores et Inocybe acystidies. Bull. Soc. Mycol. France 71 : 169-201; p. 172). Two similar white, nodulose-spored inocybes that might be expected to occur in Nova Scotia are I. paludinella Peck and I. fallax Peck. Of these I. paludinella is smaller than I. umbratica, with somewhat smaller (mostly 7.5-8 x 5 micron), less obviously nodulose spores. Inocybe fallax is about the same size as I. umbratica, but its stipe is hollow, and its spores a little larger (mostly 9-10 x 6.5 micron). All three species have the same kind of cystidia, occurring as pleurocystidia, cheilocystidia, and dermatocaulocystidia at the base of the stipe. We report for the first time the occurrence of I. umbratica in Canada.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 397-399",,,,
umbrina Bres. (assimilata Britzelm.),Goniospora,Oblong,Conical | Subconical,[7-10],[5.5-8],n/a,8 to 12 small but prominent nodules,Claviform,[25-30],[9-11],[4-4],Yes,Claviform | Ventricose | Metuloid,[16-30],[9-15],Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[40-60],[13-21],Yes,[1-2],n/a,Yes,Claviform | Metuloid,[50-65],[10-12],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Conifers,[20-35],[20-35],Bulbous,n/a,n/a,n/a,Clypeus,,,"aThis small, dark brown Inocybe is widely distributed in Europe and North America. Throughout its range it seems remarkably constant in macroscopic and microscopical features. A comparison of the nicroscopical data given above for the Nova Scotian specimens with those furnished by Kuehner and Boursier (Kuehner, R. and Boursier, J. 1932. Notes sur le genre Inocybe. Bull. Soc. Mycol. France 48 : 118-161; p. 124-125) and Stuntz (Stuntz, D. E. 1947. Studies in the genus Inocybe. I. New and noteworthy species from Washington. Mycologia 39 : 21-55; p. 51) shows the close degree of correspondence of these widely separated collections. The outermost layer of the pileal surface is by no means sufficiently gelatinized to constiture a viscid pellicle, but is enough so to make it stick to everything it touches when dried specimens are prepared for sectioning. Probably this layer accounts for the viscous or lubricous feel of the pileus noted be several mycologists, including Bresadola.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 423-424",,,,
